year,round,circuitId,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
2009,1,1,Sunny with temperatures reaching up to 27 °C (81 °F)[2],1,0,0,0,0
2009,2,2,"Dry start, with heavy rain and thunderstorm/monsoon later",0,0,1,1,0
2009,3,17,Rain,0,0,0,1,0
2009,4,3,Sunny,1,0,0,0,0
2009,5,4,"Warm, Sunny",1,0,0,0,0
2009,6,6,Sunny,1,0,0,0,0
2009,7,5,Sunny,1,0,0,0,0
2009,8,9,"Dry, overcast",0,0,0,0,1
2009,9,20,Sunny and overcast,1,0,0,0,1
2009,10,11,Sunny25 °C (77 °F)[2],0,0,0,0,0
2009,11,12,Hot and dry with temperatures reaching up to 33 °C (91 °F)[1],1,0,1,0,0
2009,12,13,Clear but Mild,1,0,0,0,0
2009,13,14,Mainly sunny,1,0,0,0,0
2009,14,15,Hot and Dry,1,0,1,0,0
2009,15,22,"Sunny, Dry",0,0,1,0,0
2009,16,18,Partially cloudy and dry,0,0,1,0,1
2009,17,24,Dry,0,0,1,0,0
2008,1,1,"Sunny,very hot with air temperature 39°C.",1,0,0,0,0
2008,2,2,"Sunny, partly cloudy",0,0,0,0,1
2008,3,3,Dry,0,0,1,0,0
2008,4,4,Sunny,1,0,0,0,0
2008,5,5,Sunny with temperatures reaching up to 17 °C (63 °F)[3],1,0,0,0,0
2008,6,6,"Wet, drying later.",0,0,0,0,0
2008,7,7,Hot with temperatures approaching 31 °C (88 °F); wind speeds up to 8.9 kilometres per hour (5.5 mph)[1],1,0,0,0,0
2008,8,8,Dry at first; light rain in the final stages,0,0,1,1,0
2008,9,9,"Rain, later drying",0,0,0,0,0
2008,10,10,"Cloudy, later sunny[1]",0,0,0,0,0
2008,11,11,"Sunny; Air 30–31 °C (86–88 °F), Track 40–43 °C (104–109 °F)",0,0,0,0,0
2008,12,12,Sunny,1,0,0,0,0
2008,13,13,"Cloudy, rain in last 3 laps",0,0,0,1,0
2008,14,14,"Heavy rain, dry towards the end",0,0,1,0,0
2008,15,15,"Dry, Air Temp: 28°C, Wind Speed: 2.2m/s, Humidity: 79%",0,0,0,0,0
2008,16,16,Cloudy with temperatures reaching up to 17 °C (63 °F)[1],0,0,0,0,1
2008,17,17,Dry,0,0,1,0,0
2008,18,18,"Rain at beginning and end, otherwise drying",0,0,0,1,0
2007,1,1,Clear with temperatures reaching up to 21 °C (70 °F)[1],1,0,0,0,0
2007,2,2,Sunny[1],0,0,0,0,0
2007,3,3,"Sunny, dry, windy",0,0,0,0,0
2007,4,4,Sunny and warm,1,0,0,0,0
2007,5,6,"Cloudy, air temp 24–27 °C (75–81 °F), track temp 33–42 °C (91–108 °F)",0,0,0,0,0
2007,6,7,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 5.8 kilometres per hour (3.6 mph)[1],1,0,0,0,0
2007,7,19,Warm (33C/91F) and clear,1,0,0,0,0
2007,8,8,Cloudy,0,0,0,0,1
2007,9,9,Dry and sunny,1,0,1,0,0
2007,10,20,Heavy Rain on Lap 1. Drying track at restart. Light Rain before the finish.,0,0,0,1,0
2007,11,11,"Sunny, temperatures reaching up to 27 °C (81 °F)[1]",0,0,0,0,0
2007,12,5,Sunny,1,0,0,0,0
2007,13,14,Sunny,1,0,0,0,0
2007,14,13,"Partly cloudy, mild and dry",1,0,1,0,0
2007,15,16,Very heavy rain,0,0,0,1,0
2007,16,17,Light Rain at the start before drying out. Light rain in the middle of the race before drying.,0,0,0,1,0
2007,17,18,"37 °C (Air), 63 °C (Track)",0,0,0,0,0
2006,1,3,"Fine, Dry and HotAir Temp 23 °C (73 °F)[1]Track Temp 40 °C (104 °F)[1] dropping to 34 °C (93 °F)",0,0,1,0,0
2006,2,2,"Fine, Air Temp: 33°C, Wind Speed: 1.5 m/s, Humidity: 61%",0,0,0,0,0
2006,3,1,"Cloudy, 14.5C (58F)",0,0,0,0,0
2006,4,21,Sunny,1,0,0,0,0
2006,5,20,not found,0,0,0,0,0
2006,6,4,Sunny,1,0,0,0,0
2006,7,6,Fine,1,0,0,0,0
2006,8,9,Sunny,1,0,0,0,0
2006,9,7,Sunny and warm with temperatures reaching up to 28 °C (82 °F); wind speeds up to 4.1 kilometres per hour (2.5 mph)[1],1,0,0,0,0
2006,10,19,"Sunny, hot",1,0,0,0,0
2006,11,8,"Sunny, warm",1,0,0,0,0
2006,12,10,"Sunny, warm",1,0,0,0,0
2006,13,11,Cool and rainy with temperatures reaching up to 20 °C (68 °F)[1],0,1,0,1,0
2006,14,5,"Sunny, hot",1,0,0,0,0
2006,15,14,Warm and sunny with temperatures reaching up to 27 °C (81 °F)[1],1,0,0,0,0
2006,16,17,"Cloudy, wet track that progressively dried up.Rainy during the last few laps.",0,0,0,1,0
2006,17,22,Fine,1,0,0,0,0
2006,18,18,Temperatures reaching up to 23 °C (73 °F)[1],0,0,0,0,0
2005,1,1,"Cool, partly cloudy",0,0,0,0,1
2005,2,2,"Fine, Air: 34–36°C (93–97°F) and Track: 44–50°C (111–122°F)",0,0,0,0,0
2005,3,3,"Sunny, 42 °C (108 °F)[1]",0,0,0,0,0
2005,4,21,Warm and cloudy,1,0,0,0,1
2005,5,4,"Sunny, warm",1,0,0,0,0
2005,6,6,Fine,1,0,0,0,0
2005,7,20,"Partly cloudy, hot and dry",1,0,1,0,0
2005,8,7,Cloudy and hot with temperatures approaching 32.5 °C (90.5 °F); wind speeds up to 5.1 kilometres per hour (3.2 mph)[1] Track 43–47 °C (109–117 °F),1,0,0,0,1
2005,9,19,"Cloudy, temperatures up to 77 °F (25 °C); wind speeds up to 11.1 miles per hour (17.9 km/h)[1]",0,0,0,0,0
2005,10,8,"Sunny, Air: 32 °C (90 °F), Track 53 °C (127 °F)",0,0,0,0,0
2005,11,9,"Sunny, Air: 27 °C (81 °F), Track 47 °C (117 °F)",0,0,0,0,0
2005,12,10,"Cloudy with drizzle, but staying dry during the race. Air temp: 24°C.",0,0,1,0,1
2005,13,11,"Sunny, Air: 34 °C (93 °F), Track 45 °C (113 °F)",0,0,0,0,0
2005,14,5,Sunny; 30°C Air; 45°C Track,0,0,0,0,0
2005,15,14,Sunny,1,0,0,0,0
2005,16,13,Wet and dry,0,0,1,1,0
2005,17,18,"Cloudy, dry, Air: 23 °C (73 °F), Track 22 °C (72 °F)",0,0,0,0,0
2005,18,22,Partially cloudy and dry with temperatures reaching up to 25 °C (77 °F)[1],0,0,1,0,1
2005,19,17,Sunny,1,0,0,0,0
2004,1,1,Dry & cloudyAir Temp 20 °C (68 °F),0,0,1,0,0
2004,2,2,"Dry, light rain at the startAir Temp 34 °C (93 °F)",0,0,0,1,0
2004,3,3,"Warm, dry and overcast",0,0,1,0,1
2004,4,21,"Clear, air temp: 22°C",0,0,0,0,0
2004,5,4,Clear,1,0,0,0,0
2004,6,6,Dry and sunny,1,0,1,0,0
2004,7,20,"Cloudy at start, sunny later",1,0,0,0,1
2004,8,7,Clear and mild with temperatures approaching 25 °C (77 °F); wind speeds up to 5.8 kilometres per hour (3.6 mph)[1] Track 35 °C (95 °F)[2],1,0,0,0,0
2004,9,19,Fine with temperatures reaching up to 24 °C (75 °F); wind speeds approaching speeds of 17.9 kilometres per hour (11.1 mph)[1],1,0,0,0,0
2004,10,8,Sunny,1,0,0,0,0
2004,11,9,"Cloudy, Air: 17 °C (63 °F), Track 27 °C (81 °F)",0,0,0,0,0
2004,12,10,Sunny,1,0,0,0,0
2004,13,11,"Warm, dry and sunny, Air: 26 °C (79 °F), Track 42 °C (108 °F)",0,0,1,0,0
2004,14,13,Dry with temperatures reaching up to 15 °C (59 °F)[1],0,0,1,0,0
2004,15,14,"Wet track at the start, dry later on",0,0,1,1,0
2004,16,17,Sunny with temperatures reaching up to 27 °C (81 °F)[1],1,0,0,0,0
2004,17,22,Sunny,1,0,0,0,0
2004,18,18,Dry/Wet,0,0,0,0,0
2003,1,1,"Damp at beginning, dry later, cloudy, mild",1,0,1,1,0
2003,2,2,Fine,1,0,0,0,0
2003,3,18,Rainy: 20 °C (68 °F),0,0,0,0,0
2003,4,21,Mostly cloudy with maximum ambient temperatures reaching 13 degrees during the day.,0,0,0,0,1
2003,5,4,Clear,1,0,0,0,0
2003,6,23,Mostly cloudy with isolated showers in the area,0,0,0,1,1
2003,7,6,Fine,1,0,0,0,0
2003,8,7,Partly cloudy and mild with temperatures reaching a maximum of 19.3 °C (66.7 °F); wind speeds up to 12.9 kilometres per hour (8.0 mph)[1],1,0,0,0,1
2003,9,20,Mostly cloudy with maximum ambient temperatures reaching 25 degrees celsius during the day.,0,0,0,0,1
2003,10,8,"Cloudy, Air: 26 °C (79 °F), Track 35 °C (95 °F)",0,0,0,0,0
2003,11,9,"Sunny at start, cloudy later, Air: 24 °C (75 °F), Track 29 °C (84 °F)",1,0,0,0,1
2003,12,10,Fine,1,0,0,0,0
2003,13,11,"Warm, dry and sunny, 28 °C (82 °F)",0,0,1,0,0
2003,14,14,Sunny,1,0,0,0,0
2003,15,19,Scattered showers with temperatures up to 69.1 °F (20.6 °C); wind speeds up to 14 miles per hour (23 km/h)[1],0,0,0,1,0
2003,16,22,"Cloudy, Air: 22 °C (72 °F), Track 25 °C (77 °F)",0,0,0,0,0
